"","ORG_CODE","SEX","AGE","POP","abs_pop"
"400","P81061","MALE","22",-25,25
"401","P81061","MALE","23",-27,27
"402","P81061","MALE","24",-41,41
"403","P81061","MALE","25",-29,29
"404","P81061","MALE","26",-35,35
"405","P81061","MALE","27",-20,20
"406","P81061","MALE","28",-26,26
"407","P81061","MALE","29",-30,30
"408","P81061","MALE","3",-17,17
"409","P81061","MALE","30",-36,36
"410","P81061","MALE","31",-33,33
"411","P81061","MALE","32",-28,28
"412","P81061","MALE","33",-21,21
"413","P81061","MALE","34",-28,28
"414","P81061","MALE","35",-28,28
"415","P81061","MALE","36",-28,28
"416","P81061","MALE","37",-26,26
"417","P81061","MALE","38",-34,34
"418","P81061","MALE","39",-25,25
"419","P81061","MALE","4",-25,25
"420","P81061","MALE","40",-33,33
"421","P81061","MALE","41",-27,27
"422","P81061","MALE","42",-22,22
"423","P81061","MALE","43",-28,28
"424","P81061","MALE","44",-35,35
"425","P81061","MALE","45",-33,33
"426","P81061","MALE","46",-38,38
"427","P81061","MALE","47",-29,29
"428","P81061","MALE","48",-37,37
"429","P81061","MALE","49",-34,34
"430","P81061","MALE","5",-17,17
"431","P81061","MALE","50",-37,37
"432","P81061","MALE","51",-49,49
"433","P81061","MALE","52",-42,42
"434","P81061","MALE","53",-37,37
"435","P81061","MALE","54",-54,54
"436","P81061","MALE","55",-33,33
"437","P81061","MALE","56",-35,35
"438","P81061","MALE","57",-42,42
"439","P81061","MALE","58",-37,37
"440","P81061","MALE","59",-28,28
"441","P81061","MALE","6",-29,29
"442","P81061","MALE","60",-37,37
"443","P81061","MALE","61",-27,27
"444","P81061","MALE","62",-33,33
"445","P81061","MALE","63",-34,34
"446","P81061","MALE","64",-35,35
"447","P81061","MALE","65",-21,21
"448","P81061","MALE","66",-20,20
"449","P81061","MALE","67",-25,25
"450","P81061","MALE","68",-21,21
"451","P81061","MALE","69",-25,25
"452","P81061","MALE","7",-22,22
"453","P81061","MALE","70",-25,25
"454","P81061","MALE","71",-28,28
"455","P81061","MALE","72",-38,38
"456","P81061","MALE","73",-13,13
"457","P81061","MALE","74",-20,20
"458","P81061","MALE","75",-19,19
"459","P81061","MALE","76",-16,16
"460","P81061","MALE","77",-18,18
"461","P81061","MALE","78",-16,16
"462","P81061","MALE","79",-14,14
"463","P81061","MALE","8",-22,22
"464","P81061","MALE","80",-18,18
"465","P81061","MALE","81",-18,18
